Product Name,Brand Name,Price (Ksh),Discount (%),Total Reviews,Original Rating,Adjusted Rating,Popularity
"Infinix HOT 40i,5000mah,(4GB RAM+4GB RAM)128GB ROM,50MP,TYPE-C,+BUDS WATCH",product,"KSh 13,599",32%,0,0,1.25,Low
Qwen Bluetooth Earbuds Wireless Earphone Gaming Headsets Sports Headphones,product,KSh 600,40%,0,0,1.25,Low
ColorScreen  SmartWatch Heart Rate Sport Bracelet,product,KSh 489,47%,0,0,1.25,Low
"AILYONS ECS2403 2.1CH SubWoofer Home Theatrer Multi Media Speaker System, 1YR WRTY",product,"KSh 2,399",35%,0,0,1.25,Low
ColorScreen  SmartWatch Heart Rate Sport Bracelet,product,KSh 510,48%,0,0,1.25,Low
Fashion 2024 Mens Casual Board Shoes Running Sneakers - White/Black,product,"KSh 1,590",33%,0,0,1.25,Low
Smartwatch Business Bluetooth Waterproof Sport,product,KSh 558,48%,0,0,1.25,Low
Fashion Men's Trendy Sneakers - White,product,"KSh 1,399",37%,0,0,1.25,Low
Fashion 4 In 1 Ladies Handbags Women Shoulder Bags Set PU Leather -Pink,product,KSh 781,48%,0,0,1.25,Low
Color Screen Smart Watch Heart Rate Sport Bracelet,product,KSh 518,48%,0,0,1.25,Low
"AILYONS GS014-1, 2 Burner Glass Top & Infrared Double Burner (1YR WRTY)",product,"KSh 2,349",29%,0,0,1.25,Low
"Vitron V643 3.1Ch Bluetooth Speaker System, 12V",product,"KSh 4,425",8%,0,0,1.25,Low
Fashion Men Shoes Sneakers Skateboarding Shoes Sport Shoes Running Sneakers Casual Shoes,product,"KSh 1,059 - KSh 1,099",43%,0,0,1.25,Low
Samsung Galaxy A51 5G 128GB HDD- 6GB RAM - Prism Cube Black,product,"KSh 21,000",45%,0,0,1.25,Low
"XIAOMI Redmi Note 13, 6.67"", 128GB + 8GB RAM (Dual SIM), 5000mAh, Midnight Black",product,"KSh 22,752",5%,0,0,1.25,Low
Garnier Even & Matte Vitamin  C Booster Serum 30ml.,product,"KSh 1,225",30%,0,0,1.25,Low
Garnier Micellar Cleansing Water For Sensitive Skin - 400ml,product,KSh 529,30%,0,0,1.25,Low
Garnier Even & Matte Vitamin C Protection Cream SPF30 50ml,product,KSh 875,30%,0,0,1.25,Low
Garnier Even & Matte Vitamin C Cleansing Foam,product,KSh 619,25%,0,0,1.25,Low
Pembe Pembe Maize Meal - 10Kg,product,KSh 689,1%,0,0,1.25,Low
Garnier Even & Matte Dark Spot Corrector,product,KSh 763,30%,0,0,1.25,Low
Ranee Biryani - 5 Kg,product,"KSh 1,149",12%,0,0,1.25,Low
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",product,KSh 624,40%,0,0,1.25,Low
Durbanville Durbanville Collectors Reserve Sauvignon 750ml,product,"KSh 3,529",product,0,0,1.25,Low
Maybelline Lasting Fix Setting Spray,product,"KSh 1,680",24%,0,0,1.25,Low
Garnier Anti-Blemish Charcoal Serum With AHA+BHA & Niacinamide For Acne Prone Skin,product,"KSh 1,500",19%,0,0,1.25,Low
Garnier Skin Active Pure Charcoal Black Tissue Face Mask,product,KSh 274,22%,0,0,1.25,Low
Sundabest Set Of 6 Ceramic White with Blue Flowers Plates (311004205),product,KSh 973,4%,0,0,1.25,Low
Garnier Skin Active Hydrabomb Pomegranate Tissue Face Mask,product,KSh 256,30%,0,0,1.25,Low
Alto Alto Carbarnet Sauvignon - 750ml,product,"KSh 4,714",product,0,0,1.25,Low
Ramtons RF/334 - Single Door Refrigerator - 85Liters Dark Silver,product,"KSh 17,499",30%,0,0,1.25,Low
Starlink Standard Actuated Kit,product,"KSh 39,500",61%,0,0,1.25,Low
"WK 32"" H2ST Smart Frameless Led TV, NO BLUETOOTH",product,"KSh 11,657",25%,0,0,1.25,Low
Hikers 32'' Digital Frameless HD LED TV-Black,product,"KSh 10,599",34%,0,0,1.25,Low
"XIAOMI Redmi 13C, 6.71""(4GB RAM+128GB Storage)5000mAh Dual Sim-Black",product,"KSh 13,950",1%,0,0,1.25,Low
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)",product,"KSh 19,475",32%,0,0,1.25,Low
"Roch RFR-160DT-B Double Door Fridge, 126L – Silver (1YR WRTY)",product,"KSh 33,999",8%,0,0,1.25,Low
